sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
215,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
216,0.41829800856912697,0.24497663614479362,12,7,5,1,0,2,9.626396456314586,200,4
217,0.4099209913534003,0.18481387557149612,22,15,7,1,0,0,9.523853646627662,200,4
218,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
219,0.3955926662047657,0.18736568673777776,11,11,0,1,0,1,9.455665319866839,200,4
220,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
221,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
222,0.03852059547644567,0.025319619288057958,0,0,0,0,0,0,9.635338459474452,192,2
223,0.34968392147755556,0.1820550456462033,10,10,0,1,0,0,9.469320039273123,200,4
224,2.3664130037898516,1.182318933255307,16,16,0,3,1,13,9.487467476823594,193,4
225,0.6407914821271474,0.25925661111691717,22,15,7,1,0,0,9.339352359106666,200,5
226,0.46621870243239644,0.23091349252916327,15,11,4,1,0,1,9.585731228412028,200,4
227,0.5964139869223956,0.33299370627521496,21,14,7,1,0,0,10.895378655766894,200,4
228,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
229,0.059371056896417126,0.036384988111173876,0,0,0,1,0,0,9.453259072063101,200,3
230,1.171590497785825,0.532889109796206,22,15,7,2,0,0,8.589594957532658,200,6
231,0.43724516608202757,0.2733880121526472,4,4,0,2,0,0,8.330139698715012,200,4
232,0.3348657350981248,0.14911897758415152,11,4,7,0,0,0,9.83810331752755,192,3
233,0.3348657350981248,0.14911897758415152,11,4,7,0,0,0,9.83810331752755,192,3
234,0.36670108870575985,0.1736600163421599,11,4,7,2,0,0,9.484987517506617,200,4
235,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
236,0.3582919324227113,0.16553785542877666,11,4,7,1,0,0,9.46845450490985,200,4
